receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260710-155835,2026-07-10,Dagrofa Food Service,19,Bordsalt fint med jod 1kg,salt,food,spice,1,1,kg,1,,,9.95,9.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,20,Mayonnaise real 2L,mayonnaise,food,fat-oil,1,2,l,,2,,91.95,91.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,21,Honey mustard dressing 1L,honey mustard dressing,food,condiment,1,1,l,,1,,70.95,70.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,22,Skålfilter 250/110 hvid,coffee filter papers,non-food,other,1,,,,,,35.95,35.95,low
20260710-155835,2026-07-10,Dagrofa Food Service,23,Tortilla hvede 30cm 18stk,wheat tortilla,food,carbohydrate,4,18,pcs,,,72,31.95,127.80,high
20260710-155835,2026-07-10,Dagrofa Food Service,24,Special blend no.2 hele bønner 1kg,coffee beans,beverage,beverage,1,1,kg,1,,,168.00,168.00,low
20260710-155835,2026-07-10,Dagrofa Food Service,25,Crema kaffe hele bønner 900g,coffee beans,beverage,beverage,1,900,g,0.9,,,115.00,115.00,high
20260710-155835,2026-07-10,Dagrofa Food Service,26,Jordbær marmelade 800g,strawberry jam,food,fruit,2,800,g,1.6,,,18.45,36.90,high
20260710-155835,2026-07-10,Dagrofa Food Service,27,Honning hverdags 425g,honey,food,condiment,1,425,g,0.425,,,34.95,34.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,28,Pålægschokolade mørk 216g 54stk,dark chocolate slices,food,sweet,2,216,g,0.432,,108,37.95,75.90,high
20260710-155835,2026-07-10,Dagrofa Food Service,29,Pålægschokolade mælk 216g 54stk,milk chocolate slices,food,sweet,2,216,g,0.432,,108,37.95,75.90,high
20260710-155835,2026-07-10,Dagrofa Food Service,30,Sukker 2kg,sugar,food,carbohydrate,1,2,kg,2,,,17.95,17.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,31,Taco spice mix 532g,taco spice mix,food,spice,1,532,g,0.532,,,86.95,86.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,32,Jalapeño skåret grøn hot 900g,jalapeño (sliced),food,vegetable,1,900,g,0.9,,,70.95,70.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,33,Salsa chunky medium 2250g,salsa,food,condiment,1,2250,g,2.25,,,83.95,83.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,34,"Squeeze plast flaske 0,7L",squeeze bottle,non-food,other,3,0.7,l,,,,12.95,38.85,low
20260710-155835,2026-07-10,Dagrofa Food Service,35,Tortilla chips nachos rund 475g,tortilla chips,food,carbohydrate,4,475,g,1.9,,,27.95,111.80,high
20260710-155835,2026-07-10,Dagrofa Food Service,36,Grøn te med mint 20 breve,green tea (mint),beverage,beverage,1,20,sachet,,,20,15.95,15.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,37,Earl grey te 20 breve,earl grey tea,beverage,beverage,1,20,sachet,,,20,15.95,15.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,38,Kamille te 20 breve,chamomile tea,beverage,beverage,1,20,sachet,,,20,15.95,15.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,39,Grøn te 20 breve,green tea,beverage,beverage,1,20,sachet,,,20,15.95,15.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,40,English breakfast te 20 breve,english breakfast tea,beverage,beverage,1,20,sachet,,,20,15.95,15.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,41,Croutons m/franske krydderier 500g,croutons,food,other,1,500,g,0.5,,,43.95,43.95,high
