receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260712-090658,2026-07-12,365discount,21,Leverpostej,liver pâté,food,protein,1,,,,,,13.95,13.95,low
20260712-090658,2026-07-12,365discount,22,K-s æggesalat,egg salad,food,protein,4,,,,,,20.95,60.00,low
20260712-090658,2026-07-12,365discount,23,Kyllingebryst 100g,chicken breast (100g),food,protein,7,100,g,0.7,,,13.50,94.50,high
20260712-090658,2026-07-12,365discount,24,Hønsesalat,chicken salad,food,protein,2,,,,,,18.95,37.90,low
20260712-090658,2026-07-12,365discount,25,Karrysalat,curry salad,food,other,3,,,,,,10.95,32.85,low
20260712-090658,2026-07-12,365discount,26,Skinkesalat 250g,ham salad (250g),food,protein,2,250,g,0.5,,,17.25,34.50,high
20260712-090658,2026-07-12,365discount,27,Tun i vand,tuna in water,food,protein,8,,,,,,10.00,80.00,low
20260712-090658,2026-07-12,365discount,28,Letmælk,low-fat milk,food,dairy,5,,,,,,10.95,54.75,low
20260712-090658,2026-07-12,365discount,29,Hummus natural,hummus (natural),food,legume,2,,,,,,14.95,29.90,low
20260712-090658,2026-07-12,365discount,30,Ama let omega 3,light spread with omega-3,food,fat-oil,5,,,,,,17.95,89.75,low
20260712-090658,2026-07-12,365discount,31,Appelsin marmelade,orange marmalade,food,fruit,4,,,,,,11.95,47.80,low
20260712-090658,2026-07-12,365discount,32,Øko kærnemælk,organic buttermilk,food,dairy,1,,,,,,13.95,13.95,low
20260712-090658,2026-07-12,365discount,33,Rapsolie 1l,rapeseed oil 1L,food,fat-oil,1,1,l,,1,,19.95,19.95,high
20260712-090658,2026-07-12,365discount,34,Valsemøllen manitoba,Manitoba wheat flour,food,carbohydrate,1,,,,,,23.50,23.50,low
20260712-090658,2026-07-12,365discount,35,Valsemøllen manitoba,Manitoba wheat flour,food,carbohydrate,1,,,,,,23.50,23.50,low
20260712-090658,2026-07-12,365discount,36,Rugmel,rye flour,food,carbohydrate,1,,,,,,9.95,9.95,low
20260712-090658,2026-07-12,365discount,37,Øko smørbar blok,organic spreadable butter block,food,dairy,1,,,,,,16.95,16.95,low
20260712-090658,2026-07-12,365discount,38,Rugmel,rye flour,food,carbohydrate,1,,,,,,9.95,9.95,low
20260712-090658,2026-07-12,365discount,39,Fuldkornsmel 1kg,wholegrain flour 1kg,food,carbohydrate,1,1,kg,1,,,12.50,12.50,high
20260712-090658,2026-07-12,365discount,40,Fuldkornsmel 1kg,wholegrain flour 1kg,food,carbohydrate,1,1,kg,1,,,12.50,12.50,high
20260712-090658,2026-07-12,365discount,41,Wasa knækbrød,crispbread,food,carbohydrate,4,,,,,,34.95,136.00,low
20260712-090658,2026-07-12,365discount,42,Dg solsikkerugbrød,sunflower rye bread,food,carbohydrate,1,,,,,,25.95,20.00,low
20260712-090658,2026-07-12,365discount,43,Familierugbrød,family rye bread,food,carbohydrate,2,,,,,,19.95,28.00,low
20260712-090658,2026-07-12,365discount,44,Lb kernegrov 950g,coarse grain bread (950g),food,carbohydrate,1,950,g,0.95,,,25.95,25.95,high
20260712-090658,2026-07-12,365discount,45,Softkernerugbrød,soft grain rye bread,food,carbohydrate,2,,,,,,28.00,56.00,low
20260712-090658,2026-07-12,365discount,46,Klosterbrød,dense rye bread (cloister bread),food,carbohydrate,1,,,,,,26.00,26.00,low
20260712-090658,2026-07-12,365discount,47,Skrabæg 15 stk,free-range eggs (15pk),food,protein,4,15,pcs,,,60,45.50,182.00,high
